Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Exon region start (bp)	Exon region end (bp)	CDS start	CDS end	Exon stable ID	Transcript start (bp)	Transcript end (bp)	5' UTR start	5' UTR end	3' UTR start	3' UTR end	Transcription start site (TSS)	Gene start (bp)	Gene end (bp)	Exon rank in transcript	cDNA coding start	cDNA coding end	Genomic coding start	Genomic coding end
ENSG00000099956	ENSG00000099956.20	ENST00000407422	ENST00000407422.8	23786931	23787262	1	93	ENSE00001547041	23786931	23834540	23786931	23787169			23786931	23786931	23838009	1	240	332	23787170	23787262
ENSG00000099956	ENSG00000099956.20	ENST00000407422	ENST00000407422.8	23791756	23791867	94	205	ENSE00001380326	23786931	23834540					23786931	23786931	23838009	2	333	444	23791756	23791867
ENSG00000099956	ENSG00000099956.20	ENST00000407422	ENST00000407422.8	23793559	23793688	206	335	ENSE00000651413	23786931	23834540					23786931	23786931	23838009	3	445	574	23793559	23793688
ENSG00000099956	ENSG00000099956.20	ENST00000407422	ENST00000407422.8	23800944	23801081	336	473	ENSE00000879480	23786931	23834540					23786931	23786931	23838009	4	575	712	23800944	23801081
ENSG00000099956	ENSG00000099956.20	ENST00000407422	ENST00000407422.8	23803295	23803422	474	601	ENSE00003591896	23786931	23834540					23786931	23786931	23838009	5	713	840	23803295	23803422
ENSG00000099956	ENSG00000099956.20	ENST00000407422	ENST00000407422.8	23816770	23816936	602	768	ENSE00000651422	23786931	23834540					23786931	23786931	23838009	6	841	1007	23816770	23816936
ENSG00000099956	ENSG00000099956.20	ENST00000407422	ENST00000407422.8	23825225	23825415	769	959	ENSE00000651425	23786931	23834540					23786931	23786931	23838009	7	1008	1198	23825225	23825415
ENSG00000099956	ENSG00000099956.20	ENST00000407422	ENST00000407422.8	23833572	23833703	960	1091	ENSE00000651428	23786931	23834540					23786931	23786931	23838009	8	1199	1330	23833572	23833703
ENSG00000099956	ENSG00000099956.20	ENST00000407422	ENST00000407422.8	23834141	23834540	1092	1131	ENSE00003819998	23786931	23834540			23834181	23834540	23786931	23786931	23838009	9	1331	1370	23834141	23834180
ENSG00000099956	ENSG00000099956.20	ENST00000344921	ENST00000344921.11	23791756	23791867	94	205	ENSE00001380326	23786963	23834505					23786963	23786931	23838009	2	301	412	23791756	23791867
ENSG00000099956	ENSG00000099956.20	ENST00000344921	ENST00000344921.11	23793559	23793688	206	335	ENSE00000651413	23786963	23834505					23786963	23786931	23838009	3	413	542	23793559	23793688
ENSG00000099956	ENSG00000099956.20	ENST00000344921	ENST00000344921.11	23803295	23803422	528	655	ENSE00003591896	23786963	23834505					23786963	23786931	23838009	5	735	862	23803295	23803422
ENSG00000099956	ENSG00000099956.20	ENST00000344921	ENST00000344921.11	23816770	23816936	656	822	ENSE00000651422	23786963	23834505					23786963	23786931	23838009	6	863	1029	23816770	23816936
ENSG00000099956	ENSG00000099956.20	ENST00000344921	ENST00000344921.11	23825225	23825415	823	1013	ENSE00000651425	23786963	23834505					23786963	23786931	23838009	7	1030	1220	23825225	23825415
ENSG00000099956	ENSG00000099956.20	ENST00000344921	ENST00000344921.11	23833572	23833703	1014	1145	ENSE00000651428	23786963	23834505					23786963	23786931	23838009	8	1221	1352	23833572	23833703
ENSG00000099956	ENSG00000099956.20	ENST00000344921	ENST00000344921.11	23786963	23787262	1	93	ENSE00000879478	23786963	23834505	23786963	23787169			23786963	23786931	23838009	1	208	300	23787170	23787262
ENSG00000099956	ENSG00000099956.20	ENST00000344921	ENST00000344921.11	23800944	23801135	336	527	ENSE00001385887	23786963	23834505					23786963	23786931	23838009	4	543	734	23800944	23801135
ENSG00000099956	ENSG00000099956.20	ENST00000344921	ENST00000344921.11	23834141	23834505	1146	1185	ENSE00003824614	23786963	23834505			23834181	23834505	23786963	23786931	23838009	9	1353	1392	23834141	23834180
ENSG00000099956	ENSG00000099956.20	ENST00000644036	ENST00000644036.2	23793559	23793688	233	362	ENSE00000651413	23786966	23838009					23786966	23786931	23838009	3	437	566	23793559	23793688
ENSG00000099956	ENSG00000099956.20	ENST00000644036	ENST00000644036.2	23800944	23801081	363	500	ENSE00000879480	23786966	23838009					23786966	23786931	23838009	4	567	704	23800944	23801081
ENSG00000099956	ENSG00000099956.20	ENST00000644036	ENST00000644036.2	23803295	23803422	501	628	ENSE00003591896	23786966	23838009					23786966	23786931	23838009	5	705	832	23803295	23803422
ENSG00000099956	ENSG00000099956.20	ENST00000644036	ENST00000644036.2	23816770	23816936	629	795	ENSE00000651422	23786966	23838009					23786966	23786931	23838009	6	833	999	23816770	23816936
ENSG00000099956	ENSG00000099956.20	ENST00000644036	ENST00000644036.2	23825225	23825415	796	986	ENSE00000651425	23786966	23838009					23786966	23786931	23838009	7	1000	1190	23825225	23825415
ENSG00000099956	ENSG00000099956.20	ENST00000644036	ENST00000644036.2	23833572	23833703	987	1118	ENSE00000651428	23786966	23838009					23786966	23786931	23838009	8	1191	1322	23833572	23833703
ENSG00000099956	ENSG00000099956.20	ENST00000644036	ENST00000644036.2	23786966	23787262	1	93	ENSE00003825278	23786966	23838009	23786966	23787169			23786966	23786931	23838009	1	205	297	23787170	23787262
ENSG00000099956	ENSG00000099956.20	ENST00000644036	ENST00000644036.2	23791756	23791894	94	232	ENSE00001224609	23786966	23838009					23786966	23786931	23838009	2	298	436	23791756	23791894
ENSG00000099956	ENSG00000099956.20	ENST00000644036	ENST00000644036.2	23834141	23838009	1119	1158	ENSE00003821003	23786966	23838009			23834181	23838009	23786966	23786931	23838009	9	1323	1362	23834141	23834180
ENSG00000099956	ENSG00000099956.20	ENST00000646421	ENST00000646421.1	23786978	23787262			ENSE00003825053	23786978	23802275					23786978	23786931	23838009	1				
ENSG00000099956	ENSG00000099956.20	ENST00000646421	ENST00000646421.1	23791756	23793688			ENSE00003816993	23786978	23802275					23786978	23786931	23838009	2				
ENSG00000099956	ENSG00000099956.20	ENST00000646421	ENST00000646421.1	23800944	23802275			ENSE00003820145	23786978	23802275					23786978	23786931	23838009	3				
ENSG00000099956	ENSG00000099956.20	ENST00000491967	ENST00000491967.2	23786980	23787262			ENSE00003830973	23786980	23802060					23786980	23786931	23838009	1				
ENSG00000099956	ENSG00000099956.20	ENST00000491967	ENST00000491967.2	23791756	23791867			ENSE00003826410	23786980	23802060					23786980	23786931	23838009	2				
ENSG00000099956	ENSG00000099956.20	ENST00000491967	ENST00000491967.2	23793559	23793688			ENSE00001828615	23786980	23802060					23786980	23786931	23838009	3				
ENSG00000099956	ENSG00000099956.20	ENST00000491967	ENST00000491967.2	23800944	23802060			ENSE00001952178	23786980	23802060					23786980	23786931	23838009	4				
ENSG00000099956	ENSG00000099956.20	ENST00000647057	ENST00000647057.1	23786983	23787262	1	93	ENSE00003815223	23786983	23834505	23786983	23787169			23786983	23786931	23838009	1	188	280	23787170	23787262
ENSG00000099956	ENSG00000099956.20	ENST00000647057	ENST00000647057.1	23800944	23801081	94	231	ENSE00003814990	23786983	23834505					23786983	23786931	23838009	2	281	418	23800944	23801081
ENSG00000099956	ENSG00000099956.20	ENST00000647057	ENST00000647057.1	23803295	23803422	232	237	ENSE00003823288	23786983	23834505			23803301	23803422	23786983	23786931	23838009	3	419	424	23803295	23803300
ENSG00000099956	ENSG00000099956.20	ENST00000647057	ENST00000647057.1	23816770	23816936			ENSE00003824436	23786983	23834505			23816770	23816936	23786983	23786931	23838009	4				
ENSG00000099956	ENSG00000099956.20	ENST00000647057	ENST00000647057.1	23825225	23825415			ENSE00001928851	23786983	23834505			23825225	23825415	23786983	23786931	23838009	5				
ENSG00000099956	ENSG00000099956.20	ENST00000647057	ENST00000647057.1	23833572	23833703			ENSE00003821951	23786983	23834505			23833572	23833703	23786983	23786931	23838009	6				
ENSG00000099956	ENSG00000099956.20	ENST00000647057	ENST00000647057.1	23834141	23834505			ENSE00003814714	23786983	23834505			23834141	23834505	23786983	23786931	23838009	7				
ENSG00000099956	ENSG00000099956.20	ENST00000644619	ENST00000644619.1	23793559	23793688	233	362	ENSE00000651413	23787001	23816927					23787001	23786931	23838009	3	402	531	23793559	23793688
ENSG00000099956	ENSG00000099956.20	ENST00000644619	ENST00000644619.1	23791756	23791894	94	232	ENSE00001224609	23787001	23816927					23787001	23786931	23838009	2	263	401	23791756	23791894
ENSG00000099956	ENSG00000099956.20	ENST00000644619	ENST00000644619.1	23787001	23787262	1	93	ENSE00003816579	23787001	23816927	23787001	23787169			23787001	23786931	23838009	1	170	262	23787170	23787262
ENSG00000099956	ENSG00000099956.20	ENST00000644619	ENST00000644619.1	23800944	23801964	363	816	ENSE00003828016	23787001	23816927			23801398	23801964	23787001	23786931	23838009	4	532	985	23800944	23801397
ENSG00000099956	ENSG00000099956.20	ENST00000644619	ENST00000644619.1	23803295	23803422			ENSE00003814413	23787001	23816927			23803295	23803422	23787001	23786931	23838009	5				
ENSG00000099956	ENSG00000099956.20	ENST00000644619	ENST00000644619.1	23816770	23816927			ENSE00003816442	23787001	23816927			23816770	23816927	23787001	23786931	23838009	6				
ENSG00000099956	ENSG00000099956.20	ENST00000263121	ENST00000263121.12	23793559	23793688	233	362	ENSE00000651413	23787011	23834501					23787011	23786931	23838009	3	392	521	23793559	23793688
ENSG00000099956	ENSG00000099956.20	ENST00000263121	ENST00000263121.12	23803295	23803422	363	490	ENSE00003591896	23787011	23834501					23787011	23786931	23838009	4	522	649	23803295	23803422
ENSG00000099956	ENSG00000099956.20	ENST00000263121	ENST00000263121.12	23816770	23816936	491	657	ENSE00000651422	23787011	23834501					23787011	23786931	23838009	5	650	816	23816770	23816936
ENSG00000099956	ENSG00000099956.20	ENST00000263121	ENST00000263121.12	23825225	23825415	658	848	ENSE00000651425	23787011	23834501					23787011	23786931	23838009	6	817	1007	23825225	23825415
ENSG00000099956	ENSG00000099956.20	ENST00000263121	ENST00000263121.12	23833572	23833703	849	980	ENSE00000651428	23787011	23834501					23787011	23786931	23838009	7	1008	1139	23833572	23833703
ENSG00000099956	ENSG00000099956.20	ENST00000263121	ENST00000263121.12	23791756	23791894	94	232	ENSE00001224609	23787011	23834501					23787011	23786931	23838009	2	253	391	23791756	23791894
